TB,HR
0,0
252,28
281,36
0,0
178,16
140,20
0,0
75,4
0,0
204,17
0,0
175,9
249,18
6,0
0,0
0,0
130,11
0,0
0,0
14,0
0,0
65,4
0,0
127,12
272,40
0,0
201,23
0,0
0,0
142,19
0,0
4,0
215,20
1,0
0,0
0,0
3,0
0,0
184,13
1,0
0,0
196,10
6,0
55,11
0,0
4,0
145,14
268,32
2,0
94,3
8,0
19,2
19,0
51,3
1,0
59,9
0,0
0,0
78,6
267,28
0,0
0,0
0,0
0,0
0,0
67,5
0,0
0,0
88,9
0,0
12,2
0,0
0,0
0,0
0,0
130,11
93,7
76,5
140,15
0,0
4,0
0,0
263,31
299,42
162,14
215,12
0,0
0,0
57,4
0,0
251,21
65,7
0,0
92,10
9,1
0,0
2,0
281,27
0,0
0,0
0,0
275,27
2,0
10,0
0,0
115,10
55,8
5,0
0,0
0,0
0,0
1,0
0,0
0,0
16,1
165,16
256,18
0,0
0,0
10,0
191,18
1,0
246,31
0,0
0,0
0,0
0,0
33,0
5,0
0,0
54,5
242,26
0,0
7,1
10,1
0,0
0,0
0,0
2,0
5,0
0,0
139,10
0,0
128,6
160,9
1,0
166,8
209,27
104,13
76,5
89,7
152,19
0,0
135,10
0,0
65,6
0,0
123,11
0,0
63,6
0,0
0,0
5,0
66,7
2,0
91,4
91,12
0,0
190,11
44,2
0,0
27,1
0,0
6,1
0,0
0,0
0,0
244,29
0,0
5,0
1,0
154,18
0,0
132,14
0,0
130,11
212,20
0,0
0,0
1,0
0,0
9,1
0,0
0,0
0,0
0,0
0,0
0,0
5,1
0,0
212,27
0,0
155,19
0,0
138,12
5,0
69,6
6,0
150,19
0,0
8,1
0,0
14,0
0,0
144,9
108,5
0,0
0,0
178,20
31,5
223,33
0,0
55,4
101,8
196,15
5,0
8,0
0,0
82,9
158,15
10,1
146,18
7,1
0,0
6,1
0,0
0,0
9,0
0,0
0,0
0,0
29,2
15,1
212,23
18,1
32,2
42,2
6,0
96,3
168,14
0,0
0,0
302,27
64,7
0,0
77,1
13,1
0,0
0,0
146,14
0,0
114,19
36,2
5,1
143,14
0,0
233,29
0,0
0,0
162,19
215,22
1,0
141,14
0,0
34,4
0,0
0,0
26,0
89,4
0,0
0,0
0,0
0,0
1,0
39,6
118,7
204,11
80,5
6,0
0,0
1,0
42,2
0,0
69,3
263,28
0,0
0,0
0,0
26,3
0,0
0,0
62,7
2,0
26,4
0,0
2,0
0,0
0,0
8,0
184,5
1,0
88,6
0,0
90,9
0,0
1,0
34,5
104,7
157,15
0,0
37,2
135,15
168,7
98,11
148,16
2,0
284,34
48,4
81,9
0,0
14,0
0,0
0,0
2,0
0,0
1,0
2,0
46,3
0,0
144,22
10,0
96,7
0,0
9,2
183,17
0,0
87,3
0,0
183,7
0,0
31,4
0,0
179,17
25,3
0,0
147,23
0,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
43,2
221,28
79,6
29,3
1,0
0,0
0,0
19,0
0,0
162,14
178,12
153,12
0,0
184,12
110,3
18,0
15,0
0,0
0,0
185,20
105,11
3,0
3,0
8,0
0,0
3,0
0,0
105,11
43,5
207,23
23,3
128,6
0,0
0,0
1,0
0,0
169,15
0,0
14,1
161,19
257,25
0,0
26,1
78,8
0,0
0,0
3,0
0,0
60,2
0,0
114,15
7,0
31,4
0,0
0,0
229,27
0,0
0,0
36,1
0,0
0,0
41,3
77,7
84,9
6,0
1,0
1,0
8,0
0,0
62,4
0,0
0,0
187,8
0,0
1,0
